ID,credit_score,tenure,balance,number_of_products,has_credit_card,is_active_member,salary,customer_profile,Y
0,652,4,59486.31,1,1,0,163944.19,"This customer is a 48-year-old male from France with a credit score of 652.0. He has been a customer for 4.0 years and currently has a balance of 59486.30859375. He has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 163944.1875.",0
1,714,4,0.0,2,1,1,37605.9,"This customer is a 29-year-old male from Spain with a credit score of 714.0. He has been a customer for 4.0 years and currently has a balance of 0.0. He has 2.0 products with the bank, including a credit card, and is an active member. His estimated salary is 37605.8984375.",0
2,733,3,100337.96,3,1,0,48559.19,"This customer is a 34-year-old male from Germany with a credit score of 733.0. He has been a customer for 3.0 years and currently has a balance of 100337.9609375. He has 3.0 products with the bank and has a credit card. However, he is not an active member. His estimated salary is 48559.19140625.",0
3,577,8,79757.21,1,1,0,135650.72,"This customer is a 43-year-old male from Spain with a credit score of 577.0. He has been a customer for 8.0 years and currently has a balance of 79757.2109375. He has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 135650.71875.",0
4,600,2,119755.0,1,1,1,21852.91,This customer is a 30-year-old male from Germany with a credit score of 600.0. He has been a customer for 2.0 years and has a balance of 119755.0. He currently has 1.0 product with the bank and has a credit card. He is an active member and has an estimated salary of 21852.91015625.,0
5,472,1,159397.75,1,0,1,57323.18,"This customer is a 32-year-old female from Spain with a credit score of 472.0. She has been a customer for 1.0 year and has a balance of 159397.75. She has one product with the company and does not have a credit card. However, she is an active member and has an estimated salary of 57323.1796875.",0
6,586,6,0.0,2,1,1,123410.23,"This customer is a 42-year-old male from Spain with a credit score of 586.0. He has been a customer for 6.0 years and currently has a balance of 0.0. He has 2.0 products with the bank, including a credit card, and is an active member. His estimated salary is 123410.2265625.",0
7,641,2,117306.69,4,1,1,26912.72,This customer is a 51-year-old female from Germany with a credit score of 641.0. She has been a customer for 2.0 years and currently has a balance of 117306.6875. She has 4.0 products with the bank and holds a credit card. She is an active member and her estimated salary is 26912.720703125.,0
8,658,6,102895.1,1,0,0,155665.77,This customer is a 38-year-old female from France with a credit score of 658.0. She has been a customer for 6.0 years and currently has a balance of 102895.1015625. She has one product with the bank and does not have a credit card or active membership. Her estimated salary is 155665.765625.,0
9,712,1,141749.73,2,0,1,90905.26,This customer is a 43-year-old male from Germany with a credit score of 712.0. He has been a customer for 1.0 year and currently has a balance of 141749.734375. He has 2.0 products with the bank but does not have a credit card. He is an active member and has an estimated salary of 90905.2578125.,0
10,613,9,108286.5,1,1,1,114153.44,This customer is a 37-year-old male from France with a credit score of 613.0. He has been a customer for 9.0 years and has a balance of 108286.5. He currently has 1.0 product with the bank and has a credit card. He is an active member and has an estimated salary of 114153.4375.,0
11,798,9,154495.8,1,1,0,191395.88,"This customer is a 34-year-old male from France with a credit score of 798.0. He has been a customer for 9.0 years and has a balance of 154495.796875. He currently has 1.0 product with the bank and has a credit card. However, he is not an active member. His estimated salary is 191395.875.",0
12,545,3,0.0,2,1,0,170307.44,"This customer is a 30-year-old male from France with a credit score of 545.0. He has been a customer for 3.0 years and currently has a balance of 0.0. He has 2.0 products with the bank and has a credit card. However, he is not an active member. His estimated salary is 170307.4375.",0
13,815,2,110777.26,2,1,0,2383.59,"This customer is a 37-year-old male from Germany with a credit score of 815.0. He has been a customer for 2.0 years and currently has a balance of 110777.2578125. He has 2.0 products with the bank and has a credit card. However, he is not an active member. His estimated salary is 2383.590087890625.",0
14,719,3,106070.29,2,1,1,183893.31,This customer is a 28-year-old male from Germany with a credit score of 719.0. He has been a customer for 3.0 years and currently has a balance of 106070.2890625. He has 2.0 products with the bank and has a credit card. He is an active member and has an estimated salary of 183893.3125.,0
15,651,1,96834.78,1,1,0,108764.69,"This customer is a 33-year-old female from France with a credit score of 651.0. She has a balance of 96834.78125 and only one product with the bank, which is a credit card. She has been a customer for 1.0 year but is not an active member. Her estimated salary is 108764.6875.",0
16,614,2,127283.78,1,1,1,31302.35,This customer is a 35-year-old male from Spain with a credit score of 614.0. He has been a customer for 2.0 years and has a balance of 127283.78125. He currently has 1.0 product with the bank and has a credit card. He is an active member and has an estimated salary of 31302.349609375.,0
17,596,0,78126.28,1,1,1,153482.9,"This customer is a 54-year-old female from Spain with a credit score of 596.0. She has a balance of 78126.28125 and only one product with the bank, which is a credit card. Despite being a new customer with a tenure of 0.0, she is an active member and has an estimated salary of 153482.90625.",0
18,591,5,0.0,2,1,1,155492.88,"This customer is a 45-year-old male from France with a credit score of 591.0. He has been a customer for 5.0 years and currently has a balance of 0.0. He has 2.0 products with the bank, including a credit card, and is an active member. His estimated salary is 155492.875.",0
19,643,9,150840.03,2,1,0,155516.34,"This customer is a 45-year-old female from Spain with a credit score of 643.0. She has been a customer for 9.0 years and currently has a balance of 150840.03125. She has 2.0 products with the bank and has a credit card. However, she is not an active member. Her estimated salary is 155516.34375.",0
20,491,1,95039.12,1,0,1,116471.14,"This customer is a 68-year-old female from Germany with a credit score of 491.0. She has been a customer for 1.0 year and has a balance of 95039.1171875. She has one product with the bank and does not have a credit card. However, she is an active member and has an estimated salary of 116471.140625.",0
21,771,2,0.0,2,1,1,199527.34,"This customer is a 27-year-old male from France with a credit score of 771.0. He has been a customer for 2.0 years and currently has 2.0 products with the bank, including a credit card. He is an active member and has an estimated salary of 199527.34375. His account balance is currently at 0.0.",0
22,484,5,0.0,1,1,1,74267.35,This customer is a 41-year-old male from France with a credit score of 484.0. He has been a customer for 5.0 years and currently has a balance of 0.0. He has one product with the bank and has a credit card. He is an active member and has an estimated salary of 74267.3515625.,0
23,661,5,0.0,1,1,0,155394.52,"This customer is a 35-year-old male from France with a credit score of 661.0. He has been a customer for 5.0 years and currently has a balance of 0.0. He has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 155394.515625.",0
24,574,3,141349.44,1,1,1,100187.43,This customer is a 43-year-old female from Germany with a credit score of 574.0. She has been a customer for 3.0 years and has a balance of 141349.4375. She has one product with the bank and has a credit card. She is an active member and has an estimated salary of 100187.4296875.,0
25,778,6,0.0,2,1,1,106197.44,"This customer is a 42-year-old male from France with a credit score of 778.0. He has been a customer for 6.0 years and currently has a balance of 0.0. He has 2.0 products with the bank, including a credit card, and is an active member. His estimated salary is 106197.4375.",0
26,572,9,68193.72,1,1,0,19998.31,"This customer is a 33-year-old male from France with a credit score of 572.0. He has been a customer for 9.0 years and currently has a balance of 68193.71875. He has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 19998.310546875.",0
27,559,2,0.0,1,1,0,129013.59,"This customer is a 52-year-old male from France with a credit score of 559.0. He has been a customer for 2.0 years and currently has a balance of 0.0. He has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 129013.59375.",0
28,754,2,0.0,2,1,0,180698.31,"This customer is a 38-year-old male from France with a credit score of 754.0. He has been a customer for 2.0 years and currently has 2.0 products with the bank, including a credit card. He has a balance of 0.0 and is not an active member. His estimated salary is 180698.3125.",0
29,762,6,141389.06,1,1,0,54122.89,"This customer is a 29-year-old male from France with a credit score of 762.0. He has been a customer for 6.0 years and has a balance of 141389.0625. He currently has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 54122.890625.",0
30,570,2,131406.56,1,1,1,47952.45,This customer is a 30-year-old male from France with a credit score of 570.0. He has been a customer for 2.0 years and has a balance of 131406.5625. He currently has 1.0 product with the bank and has a credit card. He is an active member and has an estimated salary of 47952.44921875.,0
31,548,8,0.0,1,1,0,16989.77,"This customer is a 44-year-old male from Spain with a credit score of 548.0. He has been a customer for 8.0 years and currently has a balance of 0.0. He has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 16989.76953125.",0
32,534,7,0.0,1,1,0,13566.48,"This customer is a 49-year-old female from France with a credit score of 534.0. She has been a customer for 7.0 years and currently has a balance of 0.0. She has one product with the bank and has a credit card. However, she is not an active member. Her estimated salary is 13566.48046875.",0
33,596,7,121907.97,1,0,1,30314.04,"This customer is a 60-year-old male from Spain with a credit score of 596.0. He has been a customer for 7.0 years and currently has a balance of 121907.96875. He has one product with the bank and does not have a credit card. However, he is an active member and has an estimated salary of 30314.0390625.",0
34,653,1,0.0,2,1,1,5768.32,"This customer is a 42-year-old female from France with a credit score of 653.0. She has been a customer for 1.0 year and currently has a balance of 0.0. She has 2.0 products with the bank, including a credit card, and is an active member. Her estimated salary is 5768.31982421875.",0
35,550,6,0.0,2,1,1,191870.28,"This customer is a 48-year-old female from France with a credit score of 550.0. She has been a customer for 6.0 years and currently has a balance of 0.0. She has 2.0 products with the bank, including a credit card, and is an active member. Her estimated salary is 191870.28125.",0
36,650,8,0.0,2,1,1,102925.76,This customer is a 60-year-old male from France with a credit score of 650.0. He has been a customer for 8.0 years and currently has a balance of 0.0. He has 2.0 products with the bank and holds a credit card. He is an active member and has an estimated salary of 102925.7578125.,0
37,613,8,118201.41,1,1,0,23315.59,"This customer is a 39-year-old male from Spain with a credit score of 613.0. He has been a customer for 8.0 years and currently has a balance of 118201.40625. He has one product with the bank and has a credit card. However, he is not an active member. His estimated salary is 23315.58984375.",0
38,667,3,106116.5,2,1,0,3674.71,"This customer is a 27-year-old female from Germany with a credit score of 667.0. She has been a customer for 3.0 years and currently has a balance of 106116.5. She has 2.0 products with the bank and has a credit card. However, she is not an active member. Her estimated salary is 3674.7099609375.",0
