ID,credit_score,tenure,balance,number_of_products,has_credit_card,is_active_member,salary,customer_profile,Y
0,585,4,0.0,2,0,1,101728.46,This customer is a 44-year-old female from Spain with a credit score of 585.0. She has been a member for 4.0 years and currently has 2.0 products with a balance of 0.0. She does not have a credit card but is an active member. Her estimated salary is 101728.4609375.,0
1,743,6,140348.56,2,1,1,163254.39,"This customer is a 32-year-old female from Germany with a credit score of 743.0. She has been a customer for 6.0 years and currently has a balance of 140348.5625. She has 2.0 products with the bank, including a credit card, and is an active member. Her estimated salary is 163254.390625.",0
2,527,10,136733.23,1,1,1,57589.29,This customer is a 41-year-old female from Germany with a credit score of 527.0. She has been a customer for 10.0 years and has a balance of 136733.234375. She has one product with the bank and has a credit card. She is an active member and her estimated salary is 57589.2890625.,0
3,732,6,98792.4,1,1,0,81491.7,"This customer is a 45-year-old female from Germany with a credit score of 732.0. She has been a customer for 6.0 years and currently has a balance of 98792.3984375. She has one product with the bank and has a credit card. However, she is not an active member. Her estimated salary is 81491.703125.",1
4,641,3,0.0,2,1,0,116466.19,"This customer is a 38-year-old female from France with a credit score of 641.0. She has been a customer for 3.0 years and currently has a balance of 0.0. She has 2.0 products with the bank, including a credit card. However, she is not an active member. Her estimated salary is 116466.1875.",0
5,793,3,137817.52,1,0,0,83997.79,This customer is a 39-year-old male from France with a credit score of 793.0. He has been a customer for 3.0 years and currently has a balance of 137817.515625. He has one product with the bank and does not have a credit card or active membership. His estimated salary is 83997.7890625.,0
6,708,10,86614.06,2,1,1,172129.27,"This customer is a 32-year-old male from France with a credit score of 708.0. He has been a customer for 10.0 years and currently has a balance of 86614.0625. He has 2.0 products with the bank, including a credit card, and is an active member. His estimated salary is 172129.265625.",0
7,757,6,105128.85,2,1,1,62972.13,"This customer is a 30-year-old male from Germany with a credit score of 757.0. He has been a customer for 6.0 years and currently has a balance of 105128.8515625. He has 2.0 products with the bank, including a credit card, and is an active member. His estimated salary is 62972.12890625.",0
8,501,8,0.0,2,1,0,112664.24,"This customer is a 29-year-old female from France with a credit score of 501.0. She has been a customer for 8.0 years and currently has a balance of 0.0. She has 2.0 products with the company and has a credit card. However, she is not an active member. Her estimated salary is 112664.2421875.",0
9,498,4,87541.06,2,1,1,12577.21,"This customer is a 41-year-old female from Germany with a credit score of 498.0. She has been a customer for 4.0 years and currently has a balance of 87541.0625. She has 2.0 products with the bank, including a credit card, and is an active member. Her estimated salary is 12577.2099609375.",1
10,735,9,98807.45,1,0,0,184570.05,This customer is a 43-year-old female from Germany with a credit score of 735.0. She has been a customer for 9.0 years and currently has a balance of 98807.453125. She has one product with the bank and does not have a credit card or active membership. Her estimated salary is 184570.046875.,1
11,807,1,105799.32,2,1,0,34888.04,"This customer is a 43-year-old male from France with a credit score of 807.0. He has been a customer for 1.0 year and currently has a balance of 105799.3203125. He has 2.0 products with the bank and has a credit card. However, he is not an active member. His estimated salary is 34888.0390625.",1
